First Node Name,Second Node Name,Node A,Node B,Weight
SH1,C1,2,8,1
C1,SH1,8,2,1
C1,PathC1C2,8,18,1
C1,PathC1C4,8,21,1
PathC2C1,C1,17,8,1
PathC4C1,C1,22,8,1
SH2,C2,3,9,1
C2,SH2,9,3,1
C2,PathC2C1,9,17,1
C2,PathC2C3,9,20,1
C2,PathC2C5,9,23,1
PathC1C2,C2,18,9,1
PathC5C2,C2,24,9,1
PathC3C2,C2,19,9,1
SH3,C3,4,10,1
C3,SH3,10,4,1
C3,PathC3C2,10,19,1
C3,PathC3C6,10,25,1
PathC2C3,C3,20,10,1
PathC6C3,C3,26,10,1
C4,PathC4C1,11,22,1
C4,PathC4C5,11,28,1
C4,PathC4C7,11,33,1
PathC1C4,C4,21,11,1
PathC5C4,C4,27,11,1
PathC7C4,C4,34,11,1
C5,PathC5C4,12,27,1
C5,PathC5C2,12,24,1
C5,PathC5C6,12,30,1
C5,PathC5C8,12,35,1
PathC4C5,C5,28,12,1
PathC2C5,C5,23,12,1
PathC6C5,C5,29,12,1
PathC8C5,C5,36,12,1
C6,PathC6C5,13,29,1
C6,PathC6C3,13,26,1
C6,PathC6C9,13,37,1
C6,PathC6B,13,32,1
PathC5C6,C6,30,13,1
PathC3C6,C6,25,13,1
PathC9C6,C6,38,13,1
PathBC6,C6,31,13,1
B,PathBC6,1,31,1
PathC6B,B,32,1,1
C7,PathC7C4,14,34,1
C7,PathC7C8,14,40,1
C7,ST1,14,5,1
ST1,C7,5,14,1
PathC4C7,C7,33,14,1
PathC8C7,C7,39,14,1
C8,PathC8C7,15,39,1
C8,PathC8C5,15,36,1
C8,PathC8C9,15,42,1
C8,ST2,15,6,1
PathC7C8,C8,40,15,1
PathC5C8,C8,35,15,1
PathC9C8,C8,41,15,1
ST2,C8,6,15,1
C9,PathC9C8,16,41,1
C9,PathC9C6,16,38,1
C9,ST3,16,7,1
ST3,C9,7,16,1
PathC8C9,C9,42,16,1
PathC6C9,C9,37,16,1
