StateNames,StateId,OccupancyGrid
B,1,0
SH1,2,0
SH2,3,0
SH3,4,0
ST1,5,0
ST2,6,0
ST3,7,0
C1,8,0
C2,9,0
C3,10,0
C4,11,0
C5,12,0
C6,13,0
C7,14,0
C8,15,0
C9,16,0
PathC2C1,17,0
PathC1C2,18,0
PathC3C2,19,0
PathC2C3,20,0
PathC1C4,21,0
PathC4C1,22,0
PathC2C5,23,0
PathC5C2,24,0
PathC3C6,25,0
PathC6C3,26,0
PathC5C4,27,0
PathC4C5,28,0
PathC6C5,29,0
PathC5C6,30,0
PathBC6,31,0
PathC6B,32,0
PathC4C7,33,0
PathC7C4,34,0
PathC5C8,35,0
PathC8C5,36,0
PathC6C9,37,0
PathC9C6,38,0
PathC8C7,39,0
PathC7C8,40,0
PathC9C8,41,0
PathC8C9,42,0
